id_solicitante,idade,salario,situacao_imovel,tempo_trabalho,motivo_emprestimo,pontuacao_emprestimo,valor_solicitado,taxa_juros,possibilidade_inadimplencia,percentual_renda,tempo_historico_solicitacoes,adimplente
f9a6bbd9-xe2o,27,68000,Alugado,4,"Reforma residencial",A,8700,7.88,0,0.13,5,N
rsqpyv0w-d6oo,24,12600,Alugado,2,Empreendimento,C,2500,13.11,1,0.2,2,S
bryeof0l-cqhi,30,100000,Alugado,13,"Pegamento de dívidas",A,12000,7.88,0,0.12,9,N
d0yrlkdz-nult,28,83000,Hipotecada,6,"Pegamento de dívidas",B,5000,NULL,0,0.06,9,N
njgbnugm-85dv,30,110400,Alugado,1,Empreendimento,D,14000,16.89,1,0.13,6,N
zz41xyzt-ozch,31,26988,Alugado,NULL,Empreendimento,A,5800,6.62,0,0.21,9,N
gn6ytqne-dzmk,24,117996,Hipotecada,6,Empreendimento,E,18000,17.04,0,0.15,3,S
rb8k12zq-s58b,27,24000,Alugado,2,Médico,A,1450,NULL,0,0.06,9,N
tccoomus-9wmj,21,21600,Alugado,NULL,"Pegamento de dívidas",A,6700,6.92,1,0.31,4,N
hutcf2mg-lsiq,21,26400,Alugado,NULL,Pessoal,D,7000,14.84,1,0.27,3,S
lcyctcwu-5pjx,25,39000,Alugado,9,Empreendimento,D,15200,16,1,0.39,3,N
85qs4twk-eaun,23,54000,Hipotecada,2,Empreendimento,A,7000,6.62,0,0.13,3,N
vbwefjtd-ldid,35,52000,Alugado,2,Médico,B,3000,11.48,0,0.06,7,N
3fn6bsv2-lenb,22,42996,Alugado,2,"Pegamento de dívidas",C,14400,NULL,1,0.33,4,S
hafubdeh-yz9t,26,90000,Hipotecada,10,Pessoal,B,13000,10.59,0,0.14,3,N
mbg8sndd-nsf5,22,66300,Alugado,3,Médico,D,7500,14.96,1,0.1,2,N
hro9kol5-y29l,26,65000,Hipotecada,11,Empreendimento,A,12000,7.9,0,0.18,2,N
bmqwi2a8-mcqb,26,120000,Hipotecada,10,"Reforma residencial",D,10000,14.59,0,0.08,2,S
38noqzsc-n23u,28,81972,Alugado,4,"Pegamento de dívidas",B,18000,10.99,0,0.22,6,N
3l0l89vv-ib5t,25,76700,Hipotecada,1,Empreendimento,E,14800,19.42,0,0.19,4,S
sivpiuku-g8im,26,105000,Hipotecada,6,"Pegamento de dívidas",B,12000,11.99,0,0.11,2,N
ymcxqygx-effb,24,101000,Hipotecada,3,Educação,A,7000,NULL,1,0.07,4,N
